URL,Scraped?
http://www.psypress.com/ek6/,n
http://portal.acm.org/citation.cfm?id=42297,n
http://psydb.herts.ac.uk/staff_list/,n
http://kmi.open.ac.uk/people/marc/,n
http://www.loria.fr/~jph/Page%20JPH-English.html,n
http://www.linkedin.com/profile?authType=name&amp;authToken=jcDa&amp;viewProfile=&amp;key=8546457,n
http://www.csi.ucd.ie/users/mark-keane,n
http://idisk.mac.com/keanemark-Public,n
http://www.zoominfo.com/Search/PersonDetail.aspx?PersonID=37461052&amp;searchSource=basic_ssb&amp;singleSearchBox=mark+keane&amp;personName=mark+keane,n
http://www.siliconrepublic.com/innovation/item/10074-the-keane-edge,n
http://www.electricnews.net/news.html?code=9846315,n
http://scholar.google.fr/citations?user=1Yo3hSkAAAAJ&amp;hl=fr,n
http://viaf.org/viaf/85605514,n
http://isni-url.oclc.nl/isni/0000000109217634,n
http://en.wikipedia.org/w/index.php?title=Mark_Keane&amp;oldid=567703632,n
https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&amp;utm_medium=sidebar&amp;utm_campaign=C13_en.wikipedia.org&amp;uselang=en,n
https://www.mediawiki.org/wiki/Special:MyLanguage/How_to_contribute,n
